Article,Year,Discovery goal,Discovery method,Discovery bias,Discovery location,Discovery duration,Discovered hidden services,Daily discovery,Tools,,,
1,2012,Security,Relays injection,Random,Internal,2,58389,29194.5,,,,
2,2014,Analysis,Relays injection,Random,Internal,160,45000,281.25,,,,
3,2013,Analysis,Relays injection,Random,Internal,1,39824,39824,Ahmia,,,
4,2016,Security,Onions search engines,Search engine bias,External,1,790,790,Ahmia,,,
5,2015,Security,Onions search engines,Search engine bias,External,1,1000,1000,,,,
6,2012,Analysis,Repositories,Repository bias,External,1,1171,1171,,,,
7,2015,Security,Onions search engines,Search engine bias,External,120,13243,110.3583333,,,,
8,2015,Security,Onions search engines,Search engine bias,External,1,6426,6426,,,,
9,2013,Analysis,Tor crawling,Seeding bias,Internal,1,5715,5715,BUbiNG,,,
10,2017,Analysis,Tor crawling,Seeding bias,Internal,42,824324,19626.7619,,,,
11,2017,Analysis,Relays injection,Random,Internal,180,352,1.955555556,,,,
12,2016,Analysis,Search engines + Tor crawling,Search engine bias,Both,42,113014,2690.809524,"Hidden Wiki, Ahmia, Google",,,
13,2017,Analysis,Repositories,Repository bias,External,1,7257,7257,,,,
14,2020,Security,Onions search engines,Search engine bias,External,,11533,11533,,,,
15,2018,Analysis,Relays injection,Random,Internal,150,173190,1154.6,,,,
16,2015,Identification,Non-onions seach engines,Search engine bias,External,35,170581,4873.742857,MASSDEAL,,,
17,2018,Analysis,Tor crawling,Seeding bias,Internal,105,7831,74.58095238,,,,
18,2016,Security,Onions search engines,Search engine bias,External,1,1714,1714,,,,
19,2015,Security,Onions search engines,Search engine bias,External,30,3399,113.3,,,,
20,2021,Security,Onions search engines,Search engine bias,External,,4000,4000,,,,
21,2018,Analysis,Onions search engines,Search engine bias,External,210,13604,64.78095238,"Ahmia, VisiTor, Harry71, Hidden Wiki",,,
22,2016,Analysis,Onions search engines + Repositories,Search engine bias,Internal,,4532,4532,Link-Grabber,,,
23,2018,Analysis,Repositories + Tor crawling,Repository bias,Both,30,6227,207.5666667,Tor hidden service crawler,,,
24,2017, Analysis,Repositories + Tor crawling,Repository bias,Both,,2527,2527,POSTER,,,
25,2017,Analysis,Search engines,Search engine bias,External,9,9176,1019.555556,Crawler,,,
26,2017,Dataset creation,Repositories + Tor crawling,Repository bias,Both,90,3536,39.28888889,,,,
27,2014,Analysis,Relays injection,Random,Internal,28,13337,476.3214286,Ahmia,,,
28,2015,Security,Onions search engines,Search engine bias,External,,1500,1500,OnionScan Dark Web,,,
29,2017,Analysis,Onions search engine + Tor crawling,Search engine bias,Both,10,8000,800,Tor2web,,,
30,2018,Analysis,Relays injection,Random,Internal,1,3900,3900,Crawler,,,
31,2016,Dataset creation,Onions search engines,Search engine bias,External,60,7931,132.1833333,Dark crawler,,,
32,2016,Analysis,Repositories,Repository bias,External,,10163,10163,Automatic tool,,,
33,2019,Dataset creation,Repositories + Tor crawling + Relay injection,Repository bias,Both,730,46562,63.78356164,,,,
34,2019,Dataset creation,Repositories,Repository bias,External,,4000,4000,Ahmia,,,
35,2016,Dataset creation,Onions search engines,Search engine bias,External,,18261,18261,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
